Definition,Hiragana,Casual,Polite,Casual Negative,Polite Negative,Casual Past,Polite Past,Casual Past Negative,Polite Past Negative,Te,Polite Te ,Negative Te,Command Negative Te,Polite Negative Te,I form,Casual Conditional,Polite Conditional,Casual Conditional Negative,Polite Conditional Negative,Casual Provisional,Casual Contextual ,Polite Contextual,Polite Provisional ば,Casual Provisional Negative ば,Casual Provisional Negative ち,Casual Provisional Negative き,Polite Provisional Negative,Casual Potential,Polite Potential,Casual Potential Negative,Polite Potential Negative,Casual Passive,Polite Passive,Casual Passive Negative,Polite Passive Negative,Casual Causative,Polite Causative,Polite (Slang) Causative,Casual Causative Negative,Casual (Slang) Causative Negative,Polite Causative Negative,Polite (Slang) Causative Negative,Casual Causative Passive,Polite Causative Passive,Casual Causative Passive Negative,Polite Causative Passive Negative,Volitional,Polite Volitional,Volitional Negative,Polite Volitional Negative,Conjectural,Polite Conjectural,Conjectural Negative,Polite Conjectural Negative,Alternative,Polite Alternative,Alternative Negative,Polite Alternative Negative,Imperative,Polite Imperative,Imperative Negative,Polite Imperative Negative,Casual Respectful,Polite Respectful,Casual Humble,Polite Humble,,,,,,,,,
to support,つっぱる,突っ張る,突っ張ります,突っ張らない,突っ張りません,突っ張った,突っ張りました,突っ張らなかった,突っ張りませんでした,突っ張って,突っ張りまして,突っ張らなくて,突っ張らないで,突っ張りませんで,突っ張り,突っ張ったら,突っ張りましたら,突っ張らなかったら,突っ張りませんでしたら,突っ張れば,突っ張るなら,突っ張りますなら,突っ張りませば,突っ張らなければ,突っ張らなくちゃ,突っ張らなきゃ,突っ張りませんなら,突っ張れる,突っ張れます,突っ張れない,突っ張れません,突っ張られる,突っ張られます,突っ張られない,突っ張られません,突っ張らせる,突っ張らせます,突っ張らします,突っ張らせない,突っ張らさない,突っ張らせません,突っ張らしません,突っ張らせられる,突っ張らせられます,突っ張らせられない,突っ張らせられません,突っ張ろう,突っ張りましょう,突っ張るまい,突っ張りますまい,突っ張るだろう,突っ張るでしょう,突っ張らないだろう,突っ張らないでしょう,突っ張ったり,突っ張りましたり,突っ張らなかったり,突っ張りませんでしたり,突っ張れ,突っ張りなさい,突っ張るな,突っ張りなさるな,お突っ張りになる,お突っ張りになります,お突っ張りする,お突っ張りします,突っ張らず＋に,突っ張らぬ,,突っ張らされません,突っ張らされない,突っ張らされる,突っ張らす,,突っ張らされます
to surround,とりまく,取り巻く,取り巻きます,取り巻かない,取り巻きません,取り巻いた,取り巻きました,取り巻かなかった,取り巻きませんでした,取り巻いて,取り巻きまして,取り巻かなくて,取り巻かないで,取り巻きませんで,取り巻き,取り巻いたら,取り巻きましたら,取り巻かなかったら,取り巻きませんでしたら,取り巻けば,取り巻くなら,取り巻きますなら,取り巻きませば,取り巻かなければ,取り巻かなくちゃ,取り巻かなきゃ,取り巻きませんなら,取り巻ける,取り巻けます,取り巻けない,取り巻けません,取り巻かれる,取り巻かれます,取り巻かれない,取り巻かれません,取り巻かせる,取り巻かせます,取り巻かします,取り巻かせない,取り巻かさない,取り巻かせません,取り巻かしません,取り巻かせられる,取り巻かせられます,取り巻かせられない,取り巻かせられません,取り巻こう,取り巻きましょう,取り巻くまい,取り巻きますまい,取り巻くだろう,取り巻くでしょう,取り巻かないだろう,取り巻かないでしょう,取り巻いたり,取り巻きましたり,取り巻かなかったり,取り巻きませんでしたり,取り巻け,取り巻きなさい,取り巻くな,取り巻きなさるな,お取り巻きになる,お取り巻きになります,お取り巻きする,お取り巻きします,取り巻かず＋に,取り巻かぬ,,取り巻かされません,取り巻かされない,取り巻かされる,取り巻かす,,取り巻かされます
to swarm,むらがる,群がる,群がります,群がらない,群がりません,群がった,群がりました,群がらなかった,群がりませんでした,群がって,群がりまして,群がらなくて,群がらないで,群がりませんで,群がり,群がったら,群がりましたら,群がらなかったら,群がりませんでしたら,群がれば,群がるなら,群がりますなら,群がりませば,群がらなければ,群がらなくちゃ,群がらなきゃ,群がりませんなら,群がれる,群がれます,群がれない,群がれません,群がられる,群がられます,群がられない,群がられません,群がらせる,群がらせます,群がらします,群がらせない,群がらさない,群がらせません,群がらしません,群がらせられる,群がらせられます,群がらせられない,群がらせられません,群がろう,群がりましょう,群がるまい,群がりますまい,群がるだろう,群がるでしょう,群がらないだろう,群がらないでしょう,群がったり,群がりましたり,群がらなかったり,群がりませんでしたり,群がれ,群がりなさい,群がるな,群がりなさるな,お群がりになる,お群がりになります,お群がりする,お群がりします,群がらず＋に,群がらぬ,,群がらされません,群がらされない,群がらされる,群がらす,,群がらされます
to swell,もりあがる,盛り上がる,盛り上がります,盛り上がらない,盛り上がりません,盛り上がった,盛り上がりました,盛り上がらなかった,盛り上がりませんでした,盛り上がって,盛り上がりまして,盛り上がらなくて,盛り上がらないで,盛り上がりませんで,盛り上がり,盛り上がったら,盛り上がりましたら,盛り上がらなかったら,盛り上がりませんでしたら,盛り上がれば,盛り上がるなら,盛り上がりますなら,盛り上がりませば,盛り上がらなければ,盛り上がらなくちゃ,盛り上がらなきゃ,盛り上がりませんなら,盛り上がれる,盛り上がれます,盛り上がれない,盛り上がれません,盛り上がられる,盛り上がられます,盛り上がられない,盛り上がられません,盛り上がらせる,盛り上がらせます,盛り上がらします,盛り上がらせない,盛り上がらさない,盛り上がらせません,盛り上がらしません,盛り上がらせられる,盛り上がらせられます,盛り上がらせられない,盛り上がらせられません,盛り上がろう,盛り上がりましょう,盛り上がるまい,盛り上がりますまい,盛り上がるだろう,盛り上がるでしょう,盛り上がらないだろう,盛り上がらないでしょう,盛り上がったり,盛り上がりましたり,盛り上がらなかったり,盛り上がりませんでしたり,盛り上がれ,盛り上がりなさい,盛り上がるな,盛り上がりなさるな,お盛り上がりになる,お盛り上がりになります,お盛り上がりする,お盛り上がりします,盛り上がらず＋に,盛り上がらぬ,,盛り上がらされません,盛り上がらされない,盛り上がらされる,盛り上がらす,,盛り上がらされます
to swing,ゆらぐ,揺らぐ,揺らぎます,揺らがない,揺らぎません,揺らいだ,揺らぎました,揺らがなかった,揺らぎませんでした,揺らいで,揺らぎまして,揺らがなくて,揺らがないで,揺らぎませんで,揺らぎ,揺らいだら,揺らぎましたら,揺らがなかったら,揺らぎませんでしたら,揺らげば,揺らぐなら,揺らぎますなら,揺らぎませば,揺らがなければ,揺らがなくちゃ,揺らがなきゃ,揺らぎませんなら,揺らげる,揺らげます,揺らげない,揺らげません,揺らがれる,揺らがれます,揺らがれない,揺らがれません,揺らがせる,揺らがせます,揺らがします,揺らがせない,揺らがさない,揺らがせません,揺らがしません,揺らがせられる,揺らがせられます,揺らがせられない,揺らがせられません,揺らごう,揺らぎましょう,揺らぐまい,揺らぎますまい,揺らぐだろう,揺らぐでしょう,揺らがないだろう,揺らがないでしょう,揺らいだり,揺らぎましたり,揺らがなかったり,揺らぎませんでしたり,揺らげ,揺らぎなさい,揺らぐな,揺らぎなさるな,お揺らぎになる,お揺らぎになります,お揺らぎする,お揺らぎします,揺らがず＋に,揺らがぬ,,揺らがされません,揺らがされない,揺らがされる,揺らがす,,揺らがされます
to tackle,とりくむ,取り組む,取り組みます,取り組まない,取り組みません,取り組んだ,取り組みました,取り組まなかった,取り組みませんでした,取り組んで,取り組みまして,取り組まなくて,取り組まないで,取り組みませんで,取り組み,取り組んだら,取り組みましたら,取り組まなかったら,取り組みませんでしたら,取り組めば,取り組むなら,取り組みますなら,取り組みませば,取り組まなければ,取り組まなくちゃ,取り組まなきゃ,取り組みませんなら,取り組める,取り組めます,取り組めない,取り組めません,取り組まれる,取り組まれます,取り組まれない,取り組まれません,取り組ませる,取り組ませます,取り組まします,取り組ませない,取り組まさない,取り組ませません,取り組ましません,取り組ませられる,取り組ませられます,取り組ませられない,取り組ませられません,取り組もう,取り組みましょう,取り組むまい,取り組みますまい,取り組むだろう,取り組むでしょう,取り組まないだろう,取り組まないでしょう,取り組んだり,取り組みましたり,取り組まなかったり,取り組みませんでしたり,取り組め,取り組みなさい,取り組むな,取り組みなさるな,お取り組みになる,お取り組みになります,お取り組みする,お取り組みします,取り組まず＋に,取り組まぬ,,取り組まされません,取り組まされない,取り組まされる,取り組ます,,取り組まされます
to take back,とりもどす,取り戻す,取り戻します,取り戻さない,取り戻しません,取り戻した,取り戻しました,取り戻さなかった,取り戻しませんでした,取り戻して,取り戻しまして,取り戻さなくて,取り戻さないで,取り戻しませんで,取り戻し,取り戻したら,取り戻しましたら,取り戻さなかったら,取り戻しませんでしたら,取り戻せば,取り戻すなら,取り戻しますなら,取り戻しませば,取り戻さなければ,取り戻さなくちゃ,取り戻さなきゃ,取り戻しませんなら,取り戻せる,取り戻せます,取り戻せない,取り戻せません,取り戻される,取り戻されます,取り戻されない,取り戻されません,取り戻させる,取り戻させます,取り戻さします,取り戻させない,取り戻ささない,取り戻させません,取り戻さしません,取り戻させられる,取り戻させられます,取り戻させられない,取り戻させられません,取り戻そう,取り戻しましょう,取り戻すまい,取り戻しますまい,取り戻すだろう,取り戻すでしょう,取り戻さないだろう,取り戻さないでしょう,取り戻したり,取り戻しましたり,取り戻さなかったり,取り戻しませんでしたり,取り戻せ,取り戻しなさい,取り戻すな,取り戻しなさるな,お取り戻しになる,お取り戻しになります,お取り戻しする,お取り戻しします,取り戻さず＋に,取り戻さぬ,,取り戻さされません,取り戻さされない,取り戻さされる,取り戻さす,,取り戻さされます
to take over,ひきとる,引き取る,引き取ります,引き取らない,引き取りません,引き取った,引き取りました,引き取らなかった,引き取りませんでした,引き取って,引き取りまして,引き取らなくて,引き取らないで,引き取りませんで,引き取り,引き取ったら,引き取りましたら,引き取らなかったら,引き取りませんでしたら,引き取れば,引き取るなら,引き取りますなら,引き取りませば,引き取らなければ,引き取らなくちゃ,引き取らなきゃ,引き取りませんなら,引き取れる,引き取れます,引き取れない,引き取れません,引き取られる,引き取られます,引き取られない,引き取られません,引き取らせる,引き取らせます,引き取らします,引き取らせない,引き取らさない,引き取らせません,引き取らしません,引き取らせられる,引き取らせられます,引き取らせられない,引き取らせられません,引き取ろう,引き取りましょう,引き取るまい,引き取りますまい,引き取るだろう,引き取るでしょう,引き取らないだろう,引き取らないでしょう,引き取ったり,引き取りましたり,引き取らなかったり,引き取りませんでしたり,引き取れ,引き取りなさい,引き取るな,引き取りなさるな,お引き取りになる,お引き取りになります,お引き取りする,お引き取りします,引き取らず＋に,引き取らぬ,,引き取らされません,引き取らされない,引き取らされる,引き取らす,,引き取らされます
to take the name of,しょうする,称する,称すります,称すらない,称すりません,称すった,称すりました,称すらなかった,称すりませんでした,称すって,称すりまして,称すらなくて,称すらないで,称すりませんで,称すり,称すったら,称すりましたら,称すらなかったら,称すりませんでしたら,称すれば,称するなら,称すりますなら,称すりませば,称すらなければ,称すらなくちゃ,称すらなきゃ,称すりませんなら,称すれる,称すれます,称すれない,称すれません,称すられる,称すられます,称すられない,称すられません,称すらせる,称すらせます,称すらします,称すらせない,称すらさない,称すらせません,称すらしません,称すらせられる,称すらせられます,称すらせられない,称すらせられません,称すろう,称すりましょう,称するまい,称すりますまい,称するだろう,称するでしょう,称すらないだろう,称すらないでしょう,称すったり,称すりましたり,称すらなかったり,称すりませんでしたり,称すれ,称すりなさい,称するな,称すりなさるな,お称すりになる,お称すりになります,お称すりする,お称すりします,称すらず＋に,称すらぬ,,称すらされません,称すらされない,称すらされる,称すらす,,称すらされます
to talk,しゃべる,喋る,喋ります,喋らない,喋りません,喋った,喋りました,喋らなかった,喋りませんでした,喋って,喋りまして,喋らなくて,喋らないで,喋りませんで,喋り,喋ったら,喋りましたら,喋らなかったら,喋りませんでしたら,喋れば,喋るなら,喋りますなら,喋りませば,喋らなければ,喋らなくちゃ,喋らなきゃ,喋りませんなら,喋れる,喋れます,喋れない,喋れません,喋られる,喋られます,喋られない,喋られません,喋らせる,喋らせます,喋らします,喋らせない,喋らさない,喋らせません,喋らしません,喋らせられる,喋らせられます,喋らせられない,喋らせられません,喋ろう,喋りましょう,喋るまい,喋りますまい,喋るだろう,喋るでしょう,喋らないだろう,喋らないでしょう,喋ったり,喋りましたり,喋らなかったり,喋りませんでしたり,喋れ,喋りなさい,喋るな,喋りなさるな,お喋りになる,お喋りになります,お喋りする,お喋りします,喋らず＋に,喋らぬ,,喋らされません,喋らされない,喋らされる,喋らす,,喋らされます
to tear off,はがす,剥がす,剥がします,剥がさない,剥がしません,剥がした,剥がしました,剥がさなかった,剥がしませんでした,剥がして,剥がしまして,剥がさなくて,剥がさないで,剥がしませんで,剥がし,剥がしたら,剥がしましたら,剥がさなかったら,剥がしませんでしたら,剥がせば,剥がすなら,剥がしますなら,剥がしませば,剥がさなければ,剥がさなくちゃ,剥がさなきゃ,剥がしませんなら,剥がせる,剥がせます,剥がせない,剥がせません,剥がされる,剥がされます,剥がされない,剥がされません,剥がさせる,剥がさせます,剥がさします,剥がさせない,剥がささない,剥がさせません,剥がさしません,剥がさせられる,剥がさせられます,剥がさせられない,剥がさせられません,剥がそう,剥がしましょう,剥がすまい,剥がしますまい,剥がすだろう,剥がすでしょう,剥がさないだろう,剥がさないでしょう,剥がしたり,剥がしましたり,剥がさなかったり,剥がしませんでしたり,剥がせ,剥がしなさい,剥がすな,剥がしなさるな,お剥がしになる,お剥がしになります,お剥がしする,お剥がしします,剥がさず＋に,剥がさぬ,,剥がさされません,剥がさされない,剥がさされる,剥がさす,,剥がさされます
to tear off,はぐ,剥ぐ,剥ぎます,剥がない,剥ぎません,剥いだ,剥ぎました,剥がなかった,剥ぎませんでした,剥いで,剥ぎまして,剥がなくて,剥がないで,剥ぎませんで,剥ぎ,剥いだら,剥ぎましたら,剥がなかったら,剥ぎませんでしたら,剥げば,剥ぐなら,剥ぎますなら,剥ぎませば,剥がなければ,剥がなくちゃ,剥がなきゃ,剥ぎませんなら,剥げる,剥げます,剥げない,剥げません,剥がれる,剥がれます,剥がれない,剥がれません,剥がせる,剥がせます,剥がします,剥がせない,剥がさない,剥がせません,剥がしません,剥がせられる,剥がせられます,剥がせられない,剥がせられません,剥ごう,剥ぎましょう,剥ぐまい,剥ぎますまい,剥ぐだろう,剥ぐでしょう,剥がないだろう,剥がないでしょう,剥いだり,剥ぎましたり,剥がなかったり,剥ぎませんでしたり,剥げ,剥ぎなさい,剥ぐな,剥ぎなさるな,お剥ぎになる,お剥ぎになります,お剥ぎする,お剥ぎします,剥がず＋に,剥がぬ,,剥がされません,剥がされない,剥がされる,剥がす,,剥がされます
to threaten,おどかす,脅かす,脅かします,脅かさない,脅かしません,脅かした,脅かしました,脅かさなかった,脅かしませんでした,脅かして,脅かしまして,脅かさなくて,脅かさないで,脅かしませんで,脅かし,脅かしたら,脅かしましたら,脅かさなかったら,脅かしませんでしたら,脅かせば,脅かすなら,脅かしますなら,脅かしませば,脅かさなければ,脅かさなくちゃ,脅かさなきゃ,脅かしませんなら,脅かせる,脅かせます,脅かせない,脅かせません,脅かされる,脅かされます,脅かされない,脅かされません,脅かさせる,脅かさせます,脅かさします,脅かさせない,脅かささない,脅かさせません,脅かさしません,脅かさせられる,脅かさせられます,脅かさせられない,脅かさせられません,脅かそう,脅かしましょう,脅かすまい,脅かしますまい,脅かすだろう,脅かすでしょう,脅かさないだろう,脅かさないでしょう,脅かしたり,脅かしましたり,脅かさなかったり,脅かしませんでしたり,脅かせ,脅かしなさい,脅かすな,脅かしなさるな,お脅かしになる,お脅かしになります,お脅かしする,お脅かしします,脅かさず＋に,脅かさぬ,,脅かさされません,脅かさされない,脅かさされる,脅かさす,,脅かさされます
to threaten,おどす,脅す,脅します,脅さない,脅しません,脅した,脅しました,脅さなかった,脅しませんでした,脅して,脅しまして,脅さなくて,脅さないで,脅しませんで,脅し,脅したら,脅しましたら,脅さなかったら,脅しませんでしたら,脅せば,脅すなら,脅しますなら,脅しませば,脅さなければ,脅さなくちゃ,脅さなきゃ,脅しませんなら,脅せる,脅せます,脅せない,脅せません,脅される,脅されます,脅されない,脅されません,脅させる,脅させます,脅さします,脅させない,脅ささない,脅させません,脅さしません,脅させられる,脅させられます,脅させられない,脅させられません,脅そう,脅しましょう,脅すまい,脅しますまい,脅すだろう,脅すでしょう,脅さないだろう,脅さないでしょう,脅したり,脅しましたり,脅さなかったり,脅しませんでしたり,脅せ,脅しなさい,脅すな,脅しなさるな,お脅しになる,お脅しになります,お脅しする,お脅しします,脅さず＋に,脅さぬ,,脅さされません,脅さされない,脅さされる,脅さす,,脅さされます
to throw down,なげだす,投げ出す,投げ出します,投げ出さない,投げ出しません,投げ出した,投げ出しました,投げ出さなかった,投げ出しませんでした,投げ出して,投げ出しまして,投げ出さなくて,投げ出さないで,投げ出しませんで,投げ出し,投げ出したら,投げ出しましたら,投げ出さなかったら,投げ出しませんでしたら,投げ出せば,投げ出すなら,投げ出しますなら,投げ出しませば,投げ出さなければ,投げ出さなくちゃ,投げ出さなきゃ,投げ出しませんなら,投げ出せる,投げ出せます,投げ出せない,投げ出せません,投げ出される,投げ出されます,投げ出されない,投げ出されません,投げ出させる,投げ出させます,投げ出さします,投げ出させない,投げ出ささない,投げ出させません,投げ出さしません,投げ出させられる,投げ出させられます,投げ出させられない,投げ出させられません,投げ出そう,投げ出しましょう,投げ出すまい,投げ出しますまい,投げ出すだろう,投げ出すでしょう,投げ出さないだろう,投げ出さないでしょう,投げ出したり,投げ出しましたり,投げ出さなかったり,投げ出しませんでしたり,投げ出せ,投げ出しなさい,投げ出すな,投げ出しなさるな,お投げ出しになる,お投げ出しになります,お投げ出しする,お投げ出しします,投げ出さず＋に,投げ出さぬ,,投げ出さされません,投げ出さされない,投げ出さされる,投げ出さす,,投げ出さされます
to throw into,ほうりこむ,放り込む,放り込みます,放り込まない,放り込みません,放り込んだ,放り込みました,放り込まなかった,放り込みませんでした,放り込んで,放り込みまして,放り込まなくて,放り込まないで,放り込みませんで,放り込み,放り込んだら,放り込みましたら,放り込まなかったら,放り込みませんでしたら,放り込めば,放り込むなら,放り込みますなら,放り込みませば,放り込まなければ,放り込まなくちゃ,放り込まなきゃ,放り込みませんなら,放り込める,放り込めます,放り込めない,放り込めません,放り込まれる,放り込まれます,放り込まれない,放り込まれません,放り込ませる,放り込ませます,放り込まします,放り込ませない,放り込まさない,放り込ませません,放り込ましません,放り込ませられる,放り込ませられます,放り込ませられない,放り込ませられません,放り込もう,放り込みましょう,放り込むまい,放り込みますまい,放り込むだろう,放り込むでしょう,放り込まないだろう,放り込まないでしょう,放り込んだり,放り込みましたり,放り込まなかったり,放り込みませんでしたり,放り込め,放り込みなさい,放り込むな,放り込みなさるな,お放り込みになる,お放り込みになります,お放り込みする,お放り込みします,放り込まず＋に,放り込まぬ,,放り込まされません,放り込まされない,放り込まされる,放り込ます,,放り込まされます
to throw out,ほうりだす,放り出す,放り出します,放り出さない,放り出しません,放り出した,放り出しました,放り出さなかった,放り出しませんでした,放り出して,放り出しまして,放り出さなくて,放り出さないで,放り出しませんで,放り出し,放り出したら,放り出しましたら,放り出さなかったら,放り出しませんでしたら,放り出せば,放り出すなら,放り出しますなら,放り出しませば,放り出さなければ,放り出さなくちゃ,放り出さなきゃ,放り出しませんなら,放り出せる,放り出せます,放り出せない,放り出せません,放り出される,放り出されます,放り出されない,放り出されません,放り出させる,放り出させます,放り出さします,放り出させない,放り出ささない,放り出させません,放り出さしません,放り出させられる,放り出させられます,放り出させられない,放り出させられません,放り出そう,放り出しましょう,放り出すまい,放り出しますまい,放り出すだろう,放り出すでしょう,放り出さないだろう,放り出さないでしょう,放り出したり,放り出しましたり,放り出さなかったり,放り出しませんでしたり,放り出せ,放り出しなさい,放り出すな,放り出しなさるな,お放り出しになる,お放り出しになります,お放り出しする,お放り出しします,放り出さず＋に,放り出さぬ,,放り出さされません,放り出さされない,放り出さされる,放り出さす,,放り出さされます
to throw out of order,みだす,乱す,乱します,乱さない,乱しません,乱した,乱しました,乱さなかった,乱しませんでした,乱して,乱しまして,乱さなくて,乱さないで,乱しませんで,乱し,乱したら,乱しましたら,乱さなかったら,乱しませんでしたら,乱せば,乱すなら,乱しますなら,乱しませば,乱さなければ,乱さなくちゃ,乱さなきゃ,乱しませんなら,乱せる,乱せます,乱せない,乱せません,乱される,乱されます,乱されない,乱されません,乱させる,乱させます,乱さします,乱させない,乱ささない,乱させません,乱さしません,乱させられる,乱させられます,乱させられない,乱させられません,乱そう,乱しましょう,乱すまい,乱しますまい,乱すだろう,乱すでしょう,乱さないだろう,乱さないでしょう,乱したり,乱しましたり,乱さなかったり,乱しませんでしたり,乱せ,乱しなさい,乱すな,乱しなさるな,お乱しになる,お乱しになります,お乱しする,お乱しします,乱さず＋に,乱さぬ,,乱さされません,乱さされない,乱さされる,乱さす,,乱さされます
to touch,いじる,弄る,弄ります,弄らない,弄りません,弄った,弄りました,弄らなかった,弄りませんでした,弄って,弄りまして,弄らなくて,弄らないで,弄りませんで,弄り,弄ったら,弄りましたら,弄らなかったら,弄りませんでしたら,弄れば,弄るなら,弄りますなら,弄りませば,弄らなければ,弄らなくちゃ,弄らなきゃ,弄りませんなら,弄れる,弄れます,弄れない,弄れません,弄られる,弄られます,弄られない,弄られません,弄らせる,弄らせます,弄らします,弄らせない,弄らさない,弄らせません,弄らしません,弄らせられる,弄らせられます,弄らせられない,弄らせられません,弄ろう,弄りましょう,弄るまい,弄りますまい,弄るだろう,弄るでしょう,弄らないだろう,弄らないでしょう,弄ったり,弄りましたり,弄らなかったり,弄りませんでしたり,弄れ,弄りなさい,弄るな,弄りなさるな,お弄りになる,お弄りになります,お弄りする,お弄りします,弄らず＋に,弄らぬ,,弄らされません,弄らされない,弄らされる,弄らす,,弄らされます
to treat,とりあつかう,取り扱う,取り扱います,取り扱わない,取り扱いません,取り扱った,取り扱いました,取り扱わなかった,取り扱いませんでした,取り扱って,取り扱いまして,取り扱わなくて,取り扱わないで,取り扱いませんで,取り扱い,取り扱ったら,取り扱いましたら,取り扱わなかったら,取り扱いませんでしたら,取り扱えば,取り扱うなら,取り扱いますなら,取り扱いませば,取り扱わなければ,取り扱わなくちゃ,取り扱わなきゃ,取り扱いませんなら,取り扱える,取り扱えます,取り扱えない,取り扱えません,取り扱われる,取り扱われます,取り扱われない,取り扱われません,取り扱わせる,取り扱わせます,取り扱わします,取り扱わせない,取り扱わさない,取り扱わせません,取り扱わしません,取り扱わせられる,取り扱わせられます,取り扱わせられない,取り扱わせられません,取り扱おう,取り扱いましょう,取り扱うまい,取り扱いますまい,取り扱うだろう,取り扱うでしょう,取り扱わないだろう,取り扱わないでしょう,取り扱ったり,取り扱いましたり,取り扱わなかったり,取り扱いませんでしたり,取り扱え,取り扱いなさい,取り扱うな,取り扱いなさるな,お取り扱いになる,お取り扱いになります,お取り扱いする,お取り扱いします,取り扱わず＋に,取り扱わぬ,,取り扱わされません,取り扱わされない,取り扱わされる,取り扱わす,,取り扱わされます
to trick,だます,騙す,騙します,騙さない,騙しません,騙した,騙しました,騙さなかった,騙しませんでした,騙して,騙しまして,騙さなくて,騙さないで,騙しませんで,騙し,騙したら,騙しましたら,騙さなかったら,騙しませんでしたら,騙せば,騙すなら,騙しますなら,騙しませば,騙さなければ,騙さなくちゃ,騙さなきゃ,騙しませんなら,騙せる,騙せます,騙せない,騙せません,騙される,騙されます,騙されない,騙されません,騙させる,騙させます,騙さします,騙させない,騙ささない,騙させません,騙さしません,騙させられる,騙させられます,騙させられない,騙させられません,騙そう,騙しましょう,騙すまい,騙しますまい,騙すだろう,騙すでしょう,騙さないだろう,騙さないでしょう,騙したり,騙しましたり,騙さなかったり,騙しませんでしたり,騙せ,騙しなさい,騙すな,騙しなさるな,お騙しになる,お騙しになります,お騙しする,お騙しします,騙さず＋に,騙さぬ,,騙さされません,騙さされない,騙さされる,騙さす,,騙さされます
to turn away,そらす,逸らす,逸らします,逸らさない,逸らしません,逸らした,逸らしました,逸らさなかった,逸らしませんでした,逸らして,逸らしまして,逸らさなくて,逸らさないで,逸らしませんで,逸らし,逸らしたら,逸らしましたら,逸らさなかったら,逸らしませんでしたら,逸らせば,逸らすなら,逸らしますなら,逸らしませば,逸らさなければ,逸らさなくちゃ,逸らさなきゃ,逸らしませんなら,逸らせる,逸らせます,逸らせない,逸らせません,逸らされる,逸らされます,逸らされない,逸らされません,逸らさせる,逸らさせます,逸らさします,逸らさせない,逸らささない,逸らさせません,逸らさしません,逸らさせられる,逸らさせられます,逸らさせられない,逸らさせられません,逸らそう,逸らしましょう,逸らすまい,逸らしますまい,逸らすだろう,逸らすでしょう,逸らさないだろう,逸らさないでしょう,逸らしたり,逸らしましたり,逸らさなかったり,逸らしませんでしたり,逸らせ,逸らしなさい,逸らすな,逸らしなさるな,お逸らしになる,お逸らしになります,お逸らしする,お逸らしします,逸らさず＋に,逸らさぬ,,逸らさされません,逸らさされない,逸らさされる,逸らさす,,逸らさされます
to turn up,おりかえす,折り返す,折り返します,折り返さない,折り返しません,折り返した,折り返しました,折り返さなかった,折り返しませんでした,折り返して,折り返しまして,折り返さなくて,折り返さないで,折り返しませんで,折り返し,折り返したら,折り返しましたら,折り返さなかったら,折り返しませんでしたら,折り返せば,折り返すなら,折り返しますなら,折り返しませば,折り返さなければ,折り返さなくちゃ,折り返さなきゃ,折り返しませんなら,折り返せる,折り返せます,折り返せない,折り返せません,折り返される,折り返されます,折り返されない,折り返されません,折り返させる,折り返させます,折り返さします,折り返させない,折り返ささない,折り返させません,折り返さしません,折り返させられる,折り返させられます,折り返させられない,折り返させられません,折り返そう,折り返しましょう,折り返すまい,折り返しますまい,折り返すだろう,折り返すでしょう,折り返さないだろう,折り返さないでしょう,折り返したり,折り返しましたり,折り返さなかったり,折り返しませんでしたり,折り返せ,折り返しなさい,折り返すな,折り返しなさるな,お折り返しになる,お折り返しになります,お折り返しする,お折り返しします,折り返さず＋に,折り返さぬ,,折り返さされません,折り返さされない,折り返さされる,折り返さす,,折り返さされます
to turn up,まくる,捲る,捲ります,捲らない,捲りません,捲った,捲りました,捲らなかった,捲りませんでした,捲って,捲りまして,捲らなくて,捲らないで,捲りませんで,捲り,捲ったら,捲りましたら,捲らなかったら,捲りませんでしたら,捲れば,捲るなら,捲りますなら,捲りませば,捲らなければ,捲らなくちゃ,捲らなきゃ,捲りませんなら,捲れる,捲れます,捲れない,捲れません,捲られる,捲られます,捲られない,捲られません,捲らせる,捲らせます,捲らします,捲らせない,捲らさない,捲らせません,捲らしません,捲らせられる,捲らせられます,捲らせられない,捲らせられません,捲ろう,捲りましょう,捲るまい,捲りますまい,捲るだろう,捲るでしょう,捲らないだろう,捲らないでしょう,捲ったり,捲りましたり,捲らなかったり,捲りませんでしたり,捲れ,捲りなさい,捲るな,捲りなさるな,お捲りになる,お捲りになります,お捲りする,お捲りします,捲らず＋に,捲らぬ,,捲らされません,捲らされない,捲らされる,捲らす,,捲らされます
to urge,うながす,促す,促します,促さない,促しません,促した,促しました,促さなかった,促しませんでした,促して,促しまして,促さなくて,促さないで,促しませんで,促し,促したら,促しましたら,促さなかったら,促しませんでしたら,促せば,促すなら,促しますなら,促しませば,促さなければ,促さなくちゃ,促さなきゃ,促しませんなら,促せる,促せます,促せない,促せません,促される,促されます,促されない,促されません,促させる,促させます,促さします,促させない,促ささない,促させません,促さしません,促させられる,促させられます,促させられない,促させられません,促そう,促しましょう,促すまい,促しますまい,促すだろう,促すでしょう,促さないだろう,促さないでしょう,促したり,促しましたり,促さなかったり,促しませんでしたり,促せ,促しなさい,促すな,促しなさるな,お促しになる,お促しになります,お促しする,お促しします,促さず＋に,促さぬ,,促さされません,促さされない,促さされる,促さす,,促さされます
